run_id,k_si,n_si,spec_r,pte_8,pte_8_error
313,0.95,0.5,0.5,0.00311,0.00017635192088548396
314,0.95,0.5,0.5416666666666666,0.00316,0.00017776388834631177
315,0.95,0.5,0.5833333333333333,0.00322,0.0001794435844492636
316,0.95,0.5,0.625,0.00331,0.00018193405398660254
317,0.95,0.5,0.6666666666666666,0.0034,0.00018439088914585773
318,0.95,0.5,0.7083333333333333,0.00347,0.00018627936010197157
319,0.95,0.5,0.75,0.00347,0.00018627936010197157
320,0.95,0.5,0.7916666666666666,0.00353,0.00018788294228055935
321,0.95,0.5,0.8333333333333333,0.0036,0.00018973665961010276
322,0.95,0.5,0.875,0.0037,0.00019235384061671342
323,0.95,0.5,0.9166666666666666,0.00372,0.0001928730152198591
324,0.95,0.5,0.9583333333333333,0.00382,0.00019544820285692066
325,0.95,0.5,1.0,0.00385,0.00019621416870348583
326,0.9875,0.5,0.0,0.00215,0.0001466287829861518
327,0.9875,0.5,0.041666666666666664,0.00228,0.000150996688705415
328,0.9875,0.5,0.08333333333333333,0.00234,0.00015297058540778355
329,0.9875,0.5,0.125,0.00238,0.00015427248620541512
330,0.9875,0.5,0.16666666666666666,0.00245,0.00015652475842498528
331,0.9875,0.5,0.20833333333333331,0.00248,0.00015748015748023623
332,0.9875,0.5,0.25,0.00259,0.00016093476939431082
333,0.9875,0.5,0.29166666666666663,0.00264,0.0001624807680927192
334,0.9875,0.5,0.3333333333333333,0.00268,0.000163707055437449
335,0.9875,0.5,0.375,0.00277,0.00016643316977093238
336,0.9875,0.5,0.41666666666666663,0.00282,0.00016792855623746665
337,0.9875,0.5,0.4583333333333333,0.00294,0.00017146428199482248
338,0.9875,0.5,0.5,0.0031,0.0001760681686165901
339,0.9875,0.5,0.5416666666666666,0.00315,0.00017748239349298848
340,0.9875,0.5,0.5833333333333333,0.00321,0.00017916472867168917
341,0.9875,0.5,0.625,0.0033,0.00018165902124584948
342,0.9875,0.5,0.6666666666666666,0.00339,0.00018411952639521968
343,0.9875,0.5,0.7083333333333333,0.00346,0.00018601075237738274
344,0.9875,0.5,0.75,0.00346,0.00018601075237738274
345,0.9875,0.5,0.7916666666666666,0.00352,0.0001876166303929372
346,0.9875,0.5,0.8333333333333333,0.00359,0.00018947295321496415
347,0.9875,0.5,0.875,0.00369,0.00019209372712298544
348,0.9875,0.5,0.9166666666666666,0.00371,0.00019261360284258223
349,0.9875,0.5,0.9583333333333333,0.00381,0.00019519221295943138
350,0.9875,0.5,1.0,0.00384,0.00019595917942265422
351,1.025,0.5,0.0,0.00215,0.0001466287829861518
352,1.025,0.5,0.041666666666666664,0.00228,0.000150996688705415
353,1.025,0.5,0.08333333333333333,0.00234,0.00015297058540778355
354,1.025,0.5,0.125,0.00238,0.00015427248620541512
355,1.025,0.5,0.16666666666666666,0.00245,0.00015652475842498528
356,1.025,0.5,0.20833333333333331,0.00248,0.00015748015748023623
357,1.025,0.5,0.25,0.00259,0.00016093476939431082
358,1.025,0.5,0.29166666666666663,0.00264,0.0001624807680927192
359,1.025,0.5,0.3333333333333333,0.00268,0.000163707055437449
360,1.025,0.5,0.375,0.00277,0.00016643316977093238
361,1.025,0.5,0.41666666666666663,0.00282,0.00016792855623746665
362,1.025,0.5,0.4583333333333333,0.00294,0.00017146428199482248
363,1.025,0.5,0.5,0.0031,0.0001760681686165901
364,1.025,0.5,0.5416666666666666,0.00315,0.00017748239349298848
