k_si,n_si,pte_8,pte_8_error,pte_4,pte_4_error
0.84,1.8188235294117647,0.0015175,2.754541704167864e-05,0.0014155,2.6603571188846058e-05
0.84,1.8405882352941176,0.001517,2.754087870784082e-05,0.001414,2.658947160061666e-05
0.84,1.8623529411764705,0.001514,2.7513632984395207e-05,0.0014125,2.6575364531836624e-05
0.84,1.8841176470588235,0.0015125,2.75e-05,0.001412,2.6570660511172847e-05
0.84,1.9058823529411764,0.0015095,2.7472713735632307e-05,0.0014095,2.654712790491657e-05
0.84,1.9276470588235295,0.0015095,2.7472713735632307e-05,0.0014095,2.654712790491657e-05
0.84,1.9494117647058824,0.0015075,2.7454507826584693e-05,0.001408,2.65329983228432e-05
0.84,1.9711764705882353,0.0015065,2.7445400343226915e-05,0.0014075,2.652828678976462e-05
0.84,1.9929411764705882,0.001506,2.7440845468024487e-05,0.001407,2.6523574419749688e-05
0.84,2.014705882352941,0.0015055,2.7436289836637898e-05,0.001405,2.650471656139714e-05
0.84,2.0364705882352943,0.0015045,2.7427176303804956e-05,0.0014045,2.65e-05
0.84,2.058235294117647,0.001504,2.7422618401604175e-05,0.0014045,2.65e-05
0.84,2.08,0.0015035,2.741805974171039e-05,0.001405,2.650471656139714e-05
0.86,1.71,0.001537,2.7721832551258224e-05,0.00143,2.6739483914241878e-05
0.86,1.7317647058823529,0.001533,2.7685736399814256e-05,0.0014265,2.6706740722147283e-05
0.86,1.7535294117647058,0.001531,2.7667670664513845e-05,0.0014245,2.6688012290165036e-05
0.86,1.775294117647059,0.001528,2.7640549922170507e-05,0.0014225,2.6669270706189173e-05
0.86,1.7970588235294118,0.0015245,2.7608875384557045e-05,0.0014205,2.665051594247286e-05
0.86,1.8188235294117647,0.001523,2.7595289453093258e-05,0.0014205,2.665051594247286e-05
0.86,1.8405882352941176,0.0015205,2.7572631357924474e-05,0.0014185,2.6631747971171548e-05
0.86,1.8623529411764705,0.00152,2.7568097504180444e-05,0.001417,2.661766330841233e-05
0.86,1.8841176470588235,0.0015165,2.753633962602873e-05,0.001415,2.6598872156540773e-05
0.86,1.9058823529411764,0.001516,2.7531799795872408e-05,0.0014145,2.65941722939444e-05
0.86,1.9276470588235295,0.0015155,2.7527259217001606e-05,0.001413,2.6580067720004026e-05
0.86,1.9494117647058824,0.0015155,2.7527259217001606e-05,0.001412,2.6570660511172847e-05
0.86,1.9711764705882353,0.0015155,2.7527259217001606e-05,0.001411,2.656124997058685e-05
0.86,1.9929411764705882,0.001515,2.7522717889045768e-05,0.001411,2.656124997058685e-05
0.86,2.014705882352941,0.001515,2.7522717889045768e-05,0.001411,2.656124997058685e-05
0.86,2.0364705882352943,0.001514,2.7513632984395207e-05,0.001411,2.656124997058685e-05
0.86,2.058235294117647,0.0015125,2.75e-05,0.0014105,2.6556543449779004e-05
0.86,2.08,0.001512,2.749545416973504e-05,0.001409,2.6542418879973995e-05
0.88,1.71,0.001547,2.7811867970346762e-05,0.001437,2.680485030736042e-05
0.88,1.7317647058823529,0.0015415,2.7762384623803482e-05,0.001434,2.677685567799177e-05
0.88,1.7535294117647058,0.0015385,2.7735356496717327e-05,0.0014305,2.6744158240632664e-05
0.88,1.775294117647059,0.001533,2.7685736399814256e-05,0.001426,2.670205984563738e-05
0.88,1.7970588235294118,0.0015315,2.7672188204043423e-05,0.001424,2.668332812825267e-05
0.88,1.8188235294117647,0.0015295,2.7654113618049668e-05,0.0014235,2.66786431439082e-05
0.88,1.8405882352941176,0.0015265,2.762697956708261e-05,0.0014195,2.664113360951444e-05
